Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
KOTAKBANK,File 2 (custom),-6.867998,27.321796,41.407245,0.064519,156865.77834,2992.935702,32.79216,1.117677,,1.422779,0.239193,0.128432,,2936.085571,,56.865778,,,-17.608791
PRAJIND,File 1 (vectorbt),-13.382824,38.990129,80.456201,0.116062,279335.677552,7173.427102,53.588834,1.144581,,1.330408,0.359762,0.594713,,12267.178918,,179.335678,,,-21.310369
PRAJIND,File 2 (custom),-11.292634,39.153014,79.877724,0.095965,393856.673277,11754.266931,59.569528,1.18731,,1.456837,0.370395,0.274291,,8708.89449,,293.856673,,,-17.741078
THERMAX,File 1 (vectorbt),-8.345693,22.684919,26.023313,-0.018786,86590.271173,-893.981922,43.083221,0.977306,,0.87329,-0.041266,-0.064614,,3383.397649,,-13.409729,,,-12.033271
THERMAX,File 2 (custom),-8.112433,21.973118,25.093457,-0.014731,84635.817909,-1024.278806,43.984342,0.975709,,0.850456,-0.038563,-0.018783,,1644.622804,,-15.364182,,,-11.790219
NESCO,File 1 (vectorbt),-9.925284,18.771721,22.009037,0.016517,105852.847499,585.28475,30.181256,1.045422,,1.096237,0.103528,0.15498,,1976.239174,,5.852847,,40.0,-14.611939
NESCO,File 2 (custom),-8.689451,19.38465,21.592951,-0.02602,87994.758052,-1200.524195,29.553895,0.983537,,0.797461,-0.02874,-0.013354,,906.915305,,-12.005242,,30.0,-12.890763
UNITDSPR,File 1 (vectorbt),-7.978475,21.561399,38.671443,0.051411,123421.55428,1672.968163,33.224446,1.081405,,1.283153,0.189846,0.282717,14.0,3117.117625,,23.421554,14.0,35.714286,-13.489467
UNITDSPR,File 2 (custom),-7.49399,21.159103,37.636771,0.007608,105507.906966,344.244185,39.21681,1.042168,,1.059978,0.084111,0.046079,16.0,1657.486617,,5.507907,16.0,31.25,-12.814739
DLF,File 1 (vectorbt),-8.870021,24.714758,35.772545,-0.027988,83441.669373,-1379.860886,53.627143,0.967617,,0.794467,-0.059001,-0.078333,,2283.561967,,-16.558331,,,-11.212223
DLF,File 2 (custom),-8.450723,24.166456,34.61788,-0.019381,83801.595668,-1349.867028,52.324026,0.961618,,0.792722,-0.054927,-0.017096,,1131.314618,,-16.198404,,,-10.625927
ITDCEM,File 1 (vectorbt),-10.512186,30.662217,39.571228,0.273113,251830.30201,12652.525168,27.131161,1.255706,,2.083208,0.477632,0.817834,12.0,4790.50721,,151.830302,12.0,50.0,-13.647828
ITDCEM,File 2 (custom),-9.445648,29.924938,40.70102,0.180879,230719.341502,10055.333962,25.257952,1.247809,,1.96061,0.370325,0.19739,13.0,2440.446026,,130.719342,13.0,46.153846,-13.19234
PARSVNATH,File 1 (vectorbt),-10.828904,38.048838,48.067652,0.506967,427833.215629,32783.321563,24.618605,2.297133,,4.647305,1.078151,2.184052,,4232.704004,,327.833216,,60.0,-16.656134
PARSVNATH,File 2 (custom),-10.441703,36.174553,48.480587,0.141652,259166.728864,15916.672886,38.573055,1.624119,,2.996708,0.579914,0.228856,,1615.269969,,159.166729,,50.0,-15.639396
SPARC,File 1 (vectorbt),-9.634856,31.377635,38.222311,0.008749,103511.72165,501.674521,33.073847,1.050689,,1.069945,0.089491,0.146935,,1369.843853,,3.511722,,28.571429,-12.879798
SPARC,File 2 (custom),-9.792703,24.92666,24.92666,-0.042366,66228.992236,-4824.429681,55.55025,0.926424,,0.279071,-0.125919,-0.064848,,468.600341,,-33.771008,,14.285714,-13.046712
AGI,File 1 (vectorbt),-9.685254,33.124729,38.321191,0.049733,124962.144979,1920.164998,42.607156,1.136562,,1.239976,0.207046,0.338156,,2883.286411,,24.962145,,30.769231,-14.71661
AGI,File 2 (custom),-9.55831,33.454028,38.201641,-0.020395,84273.252643,-1209.749797,54.200789,0.998537,,0.832887,-0.002046,-0.000837,,1203.763284,,-15.726747,,23.076923,-14.178184
