symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
AHLUCONT,Success,0.007873100000324484,0.00020760000006703194,0.00046070000007603085,3.770000057556899e-05,0.010242199999993318,2009-12-14 09:15:00,2025-06-26 09:15:00,5673 days 00:00:00,100000.0,71861.971708,-28.138028,428.992452,100.0,929.341494,57.707086,3734 days 00:00:00,10,10,0,0.0,20.0,37.469738,-12.822041,28.74936,-9.623583,39 days 12:00:00,23 days 12:00:00,0.640594,-2813.802829,-0.185452,-0.037143,0.866315,-0.082685
AIAENG,Success,0.008687399999871559,0.00022939999962545699,0.0005157999994480633,4.1599999349273276e-05,0.01122880000002624,2005-12-14 09:15:00,2025-06-26 09:15:00,7134 days 00:00:00,100000.0,163589.534586,63.589535,3281.688708,100.0,2184.402477,38.421147,2515 days 00:00:00,13,12,1,125.767565,41.666667,32.966032,-13.40067,24.233256,-7.716648,94 days 19:11:59,12 days 00:00:00,1.585533,5288.647252,0.347481,0.067745,1.23031,0.162183
AIIL,Success,0.002248400000098627,0.00016140000025188783,0.0004543000004559872,2.89999998130952e-05,0.004586399999425339,2024-04-23 09:15:00,2025-06-26 09:15:00,429 days 00:00:00,100000.0,130449.562917,30.449563,185.726622,100.0,130.203716,6.066448,6 days 00:00:00,1,1,0,0.0,100.0,30.825891,30.825891,30.825891,0.0,15 days 00:00:00,0 days 00:00:00,inf,30449.562917,1.360279,4.218082,4.422746,0.796392
AIRAN,Success,0.003382200000487501,0.00016220000088651432,0.00045059999956720276,2.9999999242136255e-05,0.00545830000010028,2019-05-03 09:15:00,2025-06-26 09:15:00,2246 days 00:00:00,100000.0,130883.332175,30.883332,-23.37992,100.0,388.654227,31.201536,1925 days 00:00:00,4,4,0,0.0,50.0,34.432631,-14.536456,33.704069,-14.084481,35 days 00:00:00,8 days 12:00:00,2.166289,7720.833044,0.409533,0.145656,1.527705,0.234969
AIROLAM,Success,0.003658499999801279,0.00017389999993611127,0.0004549000004772097,3.079999987676274e-05,0.0057608999995864,2017-10-06 09:15:00,2025-06-26 09:15:00,2820 days 00:00:00,100000.0,83574.854331,-16.425146,151.293871,100.0,83.614384,16.727582,1224 days 00:00:00,1,1,0,0.0,0.0,-16.265087,-16.265087,0.0,-16.265087,0 days 00:00:00,17 days 00:00:00,0.0,-16425.145669,-0.418769,-0.183169,0.428074,-0.05278
AJANTPHARM,Success,0.010298799999873154,0.00026950000028591603,0.000501800000165531,4.11000000895001e-05,0.013054400000328314,2000-06-05 09:15:00,2025-06-26 09:15:00,9152 days 00:00:00,100000.0,73625.179031,-26.374821,16298.612697,100.0,1347.923286,46.531569,7412 days 00:00:00,16,16,0,0.0,25.0,31.51138,-17.128087,27.426464,-9.768146,115 days 12:00:00,29 days 20:00:00,0.759618,-1648.426311,-0.060381,-0.027132,0.965245,-0.030461
AJAXENGG,Success,0.0019579999998313724,0.00021699999979318818,0.00044640000032813987,2.7399999453336932e-05,0.0035176000001229113,2025-02-17 09:15:00,2025-06-26 09:15:00,129 days 00:00:00,100000.0,100000.0,0.0,5.576083,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
AJMERA,Success,0.008057199999711884,0.000256700000136334,0.0005140000002938905,3.770000057556899e-05,0.010597700000289478,2009-06-23 09:15:00,2025-06-26 09:15:00,5847 days 00:00:00,100000.0,54131.033238,-45.868967,638.695478,100.0,593.68162,54.879038,5847 days 00:00:00,9,9,0,0.0,11.111111,44.56136,-13.898151,44.56136,-11.360203,182 days 00:00:00,22 days 09:00:00,0.323345,-5096.551862,-0.304708,-0.069764,0.798197,-0.134209
AJOONI,Success,0.0035279999992781086,0.0001937000006364542,0.00048430000060761813,3.949999972974183e-05,0.005761800000072981,2021-05-07 09:15:00,2025-06-26 09:15:00,1511 days 00:00:00,100000.0,115031.640432,15.03164,-10.849287,100.0,247.751519,17.122007,259 days 00:00:00,2,2,0,0.0,50.0,32.739301,-12.993003,32.739301,-12.993003,77 days 00:00:00,14 days 00:00:00,1.861787,7515.820216,0.326147,0.203972,1.259534,0.190277
AKASH,Success,0.0034307000005355803,0.00016830000004119938,0.0004433999993125326,2.949999998236308e-05,0.005488300000251911,2019-10-11 09:15:00,2025-06-26 09:15:00,2085 days 00:00:00,100000.0,109461.890569,9.461891,-53.371901,100.0,234.962319,13.754885,481 days 00:00:00,2,2,0,0.0,50.0,25.594294,-12.488108,25.594294,-12.488108,68 days 00:00:00,27 days 00:00:00,1.596261,4730.945284,0.215503,0.12182,1.171955,0.087374
