Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Benchmark Return [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Max Gross Exposure [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Start Value,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
BEDMUTHA,File 1 (vectorbt),-18.883798,33.792538,,39.994796,0.042364,127257.628894,4542.938149,58.185845,,1.145594,,1.583576,0.228174,0.355647,,,983.815025,,27.257629,,,-22.860799
BEDMUTHA,File 2 (custom),-18.765133,33.448458,,38.824277,0.027255,125347.343032,4224.557172,58.273165,,1.139628,,1.541337,0.182336,0.073245,,,502.048464,,25.347343,,,-22.738161
BEL,File 1 (vectorbt),-9.166903,30.247922,,63.216227,0.272003,553351.865623,15111.728854,36.816006,,1.32002,,1.950706,0.619335,1.049362,,,19121.161959,,453.351866,,,-18.92917
BEL,File 2 (custom),-8.972131,29.026255,,55.926776,0.171458,489864.883525,12995.496118,36.807504,,1.299679,,1.901595,0.486932,0.280132,,,8790.527221,,389.864884,,,-17.613063
BEML,File 1 (vectorbt),-10.49512,34.673759,,43.132184,-0.037496,68278.876592,-1762.284634,56.184597,,0.962939,,0.715011,-0.070762,-0.106093,,,2454.06947,,-31.721123,,,-22.764781
BEML,File 2 (custom),-9.97284,34.73892,,43.188895,-0.022891,71761.808552,-1568.788414,55.490901,,0.970615,,0.745562,-0.046554,-0.02112,,,1269.267725,,-28.238191,,,-18.22767
BEPL,File 1 (vectorbt),-11.77496,34.464594,,41.452236,0.036295,121804.122412,1547.172728,42.247731,,1.09499,7879.567856,1.220088,0.174644,0.281598,,,1679.025477,,21.804122,,,-13.210701
BEPL,File 2 (custom),-11.5673,34.529964,,41.510626,0.02456,121486.018552,1514.3825,42.430863,,1.094257,7856.576055,1.216739,0.1441,0.072123,,,787.93529,,21.486019,,,-13.097703
BERGEPAINT,File 1 (vectorbt),-8.54702,26.951386,,45.983058,0.168314,491219.701894,14767.541525,48.751209,,1.238461,7263.622255,2.217725,0.535261,0.914451,,,15364.691684,,391.219702,,,-14.591463
BERGEPAINT,File 2 (custom),-8.240098,26.910993,,46.036921,0.117951,487836.139626,14639.60532,47.22909,,1.237835,7206.401315,2.193821,0.44438,0.307117,,,7688.304977,,387.83614,,,-13.300889
BESTAGRO,File 1 (vectorbt),,27.918815,,27.918815,5.724357,127890.924322,27890.924322,1.828538,,11.941416,,,0.802696,8.7853,,,227.919043,,27.890924,,,27.918815
BESTAGRO,File 2 (custom),0.0,24.999643,,24.999643,3.487609,124533.568374,24533.568374,1.812556,,10.872311,,,0.619621,0.688469,,,123.783307,,24.533568,,,24.999643
BFINVEST,File 1 (vectorbt),-11.241344,40.724481,,47.499245,0.099019,152478.799656,6559.849957,44.780102,,1.138618,,1.61452,0.300772,0.508079,,,2249.238086,,52.4788,,,-15.603048
BFINVEST,File 2 (custom),-10.812675,40.738816,,47.417248,0.069059,153736.480237,6717.06003,44.901552,,1.140619,,1.630471,0.253151,0.165281,,,1164.739003,,53.73648,,,-15.487661
